Date,BTC,SPX
2024-09-03,57431.0234375,5528.93017578125
2024-09-04,57971.5390625,5520.06982421875
2024-09-05,56160.48828125,5503.41015625
2024-09-06,53948.75390625,5408.419921875
2024-09-09,57019.53515625,5471.0498046875
2024-09-10,57648.7109375,5495.52001953125
2024-09-11,57343.171875,5554.1298828125
2024-09-12,58127.01171875,5595.759765625
2024-09-13,60571.30078125,5626.02001953125
2024-09-16,58192.5078125,5633.08984375
2024-09-17,60308.5390625,5634.580078125
2024-09-18,61649.6796875,5618.259765625
2024-09-19,62940.45703125,5713.64013671875
2024-09-20,63192.9765625,5702.5498046875
2024-09-23,63329.80078125,5718.56982421875
2024-09-24,64301.96875,5732.93017578125
2024-09-25,63143.14453125,5722.259765625
2024-09-26,65181.01953125,5745.3701171875
2024-09-27,65790.6640625,5738.169921875
2024-09-30,63329.5,5762.47998046875
2024-10-01,60837.0078125,5708.75
2024-10-02,60632.78515625,5709.5400390625
2024-10-03,60759.40234375,5699.93994140625
2024-10-04,62067.4765625,5751.06982421875
2024-10-07,62236.66015625,5695.93994140625
2024-10-08,62131.96875,5751.1298828125
2024-10-09,60582.1015625,5792.0400390625
2024-10-10,60274.5,5780.0498046875
2024-10-11,62445.08984375,5815.02978515625
2024-10-14,66046.125,5859.85009765625
2024-10-15,67041.109375,5815.259765625
2024-10-16,67612.71875,5842.47021484375
2024-10-17,67399.8359375,5841.47021484375
2024-10-18,68418.7890625,5864.669921875
2024-10-21,67367.8515625,5853.97998046875
2024-10-22,67361.40625,5851.2001953125
2024-10-23,66432.1953125,5797.419921875
2024-10-24,68161.0546875,5809.85986328125
2024-10-25,66642.4140625,5808.1201171875
2024-10-28,69907.7578125,5823.52001953125
2024-10-29,72720.4921875,5832.919921875
2024-10-30,72339.5390625,5813.669921875
2024-10-31,70215.1875,5705.4501953125
2024-11-01,69482.46875,5728.7998046875
2024-11-04,67811.5078125,5712.68994140625
2024-11-05,69359.5625,5782.759765625
2024-11-06,75639.078125,5929.0400390625
2024-11-07,75904.859375,5973.10009765625
2024-11-08,76545.4765625,5995.5400390625
2024-11-11,88701.484375,6001.35009765625
2024-11-12,87955.8125,5983.990234375
2024-11-13,90584.1640625,5985.3798828125
2024-11-14,87250.4296875,5949.169921875
2024-11-15,91066.0078125,5870.6201171875
2024-11-18,90542.640625,5893.6201171875
2024-11-19,92343.7890625,5916.97998046875
2024-11-20,94339.4921875,5917.10986328125
2024-11-21,98504.7265625,5948.7099609375
2024-11-22,98997.6640625,5969.33984375
2024-11-25,93102.296875,5987.3701171875
2024-11-26,91985.3203125,6021.6298828125
2024-11-27,95962.53125,5998.740234375
2024-11-29,97461.5234375,6032.3798828125
2024-12-02,95865.3046875,6047.14990234375
2024-12-03,96002.1640625,6049.8798828125
2024-12-04,98768.53125,6086.490234375
2024-12-05,96593.5703125,6075.10986328125
2024-12-06,99920.7109375,6090.27001953125
2024-12-09,97432.71875,6052.85009765625
2024-12-10,96675.4296875,6034.91015625
2024-12-11,101173.03125,6084.18994140625
2024-12-12,100043.0,6051.25
2024-12-13,101459.2578125,6051.08984375
2024-12-16,106029.71875,6074.080078125
2024-12-17,106140.6015625,6050.60986328125
2024-12-18,100041.5390625,5872.16015625
2024-12-19,97490.953125,5867.080078125
2024-12-20,97755.9296875,5930.85009765625
2024-12-23,94686.2421875,5974.06982421875
2024-12-24,98676.09375,6040.0400390625
2024-12-26,95795.515625,6037.58984375
2024-12-27,94164.859375,5970.83984375
2024-12-30,92643.2109375,5906.93994140625
2024-12-31,93429.203125,5881.6298828125
2025-01-02,96886.875,5868.5498046875
2025-01-03,98107.4296875,5942.47021484375
2025-01-06,102078.0859375,5975.3798828125
2025-01-07,96922.703125,5909.02978515625
2025-01-08,95043.5234375,5918.25
2025-01-10,94701.453125,5827.0400390625
2025-01-13,94516.5234375,5836.22021484375
2025-01-14,96534.046875,5842.91015625
2025-01-15,100504.4921875,5949.91015625
